id,accX,accY,accZ,gyroX,gyroY,gyroZ,timestamp
00b023b8-5b19-4289-b912-9728c8627d78,0.7,-1.33,-2.79,,,,2024-03-22 16:04:19.659
00b0619a-09a1-41cd-9d81-c84ea28f67e5,-0.11,1.01,0.11,,,,2024-03-22 16:02:15.690
00b4173a-83ef-4261-9e3d-e9666606e43b,0.08,-0.3,-1.92,,,,2024-03-22 16:01:35.282
00b47d54-02a7-4633-9300-bec1ce11de30,0.15,0.34,-1.0,,,,2024-03-22 16:01:36.501
00b550fd-cabb-4707-806c-fd3833326df6,0.71,-0.57,-0.43,,,,2024-03-22 16:03:02.720
00b68361-4979-42eb-8c8e-650f8be02b6c,-1.42,-0.03,-3.05,,,,2024-03-22 16:02:45.804
00ba6d8e-5d6d-42e3-91df-2844b91c9af7,0.53,0.96,-0.24,,,,2024-03-22 16:00:38.175
00bb7688-ab91-46fd-9caa-579f8cac3f26,-0.69,-0.75,0.32,,,,2024-03-22 16:02:49.392
00bd7dd7-7fd7-4f0a-b100-b5efb5633a4e,-0.02,0.85,0.02,,,,2024-03-22 16:00:19.596
00c1504b-5255-4dac-9b17-030c9f5c488e,0.02,0.85,-0.65,,,,2024-03-22 16:03:21.708
00c36c47-ee02-4088-8801-0c35fd2e86cb,0.53,1.68,-0.79,,,,2024-03-22 16:02:51.830
00c578df-d6dc-427f-9abc-ef6a63eb9aaa,-0.99,-0.2,-0.08,,,,2024-03-22 16:06:05.507
00c781fb-27ca-439e-85fa-9ea8826e82fe,-0.37,-0.4,0.13,,,,2024-03-22 16:00:51.546
00cc8fd7-bd24-46b6-9828-c9d9ace555cb,0.89,0.43,0.38,,,,2024-03-22 16:05:21.858
00d54ce5-4764-47cd-a9c9-fe1f54e87047,0.71,-0.43,-0.7,,,,2024-03-22 16:03:09.736
00d59b8f-e1d5-478c-a39e-96da39c37c69,0.66,-0.76,-0.08,,,,2024-03-22 15:59:48.814
00d644d9-3d8a-49fc-a699-2c92e88b9692,0.11,0.63,0.14,,,,2024-03-22 16:04:38.212
00d65f15-c598-4040-b7f2-1998b4b042b1,-0.03,0.14,-0.97,,,,2024-03-22 15:59:42.148
00d9bef0-90ab-48e1-8f51-ccfcdead02b2,-0.83,0.6,0.2,,,,2024-03-22 16:04:02.166
00da52e1-43fc-4cab-bb4b-f5f5a8a086eb,2.0,-0.75,0.54,,,,2024-03-22 16:03:50.560
00dcae9f-40c6-4248-8c28-d4ccc36923ac,0.01,1.71,0.05,,,,2024-03-22 16:02:31.483
00dd2747-0deb-4a22-91a7-b5e52eca390c,0.56,0.5,-0.05,,,,2024-03-22 16:05:20.638
00ddf6a3-3d24-4546-a9dd-5cd54c3a9458,0.74,1.24,1.33,,,,2024-03-22 16:05:17.307
